VEGAS_LINE,OVER,PREDICTED,W_PCT_A,MIN_A,E_OFF_RATING_A,E_DEF_RATING_A,E_NET_RATING_A,E_PACE_A,E_AST_RATIO_A,E_OREB_PCT_A,E_DREB_PCT_A,E_REB_PCT_A,E_TM_TOV_PCT_A,GP_RANK_A,W_RANK_A,L_RANK_A,W_PCT_RANK_A,MIN_RANK_A,E_OFF_RATING_RANK_A,E_DEF_RATING_RANK_A,E_NET_RATING_RANK_A,E_AST_RATIO_RANK_A,E_OREB_PCT_RANK_A,E_DREB_PCT_RANK_A,E_REB_PCT_RANK_A,E_TM_TOV_PCT_RANK_A,W_PCT_H,MIN_H,E_OFF_RATING_H,E_DEF_RATING_H,E_NET_RATING_H,E_PACE_H,E_AST_RATIO_H,E_OREB_PCT_H,E_DREB_PCT_H,E_REB_PCT_H,E_TM_TOV_PCT_H,GP_RANK_H,W_RANK_H,L_RANK_H,W_PCT_RANK_H,MIN_RANK_H,E_OFF_RATING_RANK_H,E_DEF_RATING_RANK_H,E_NET_RATING_RANK_H,E_AST_RATIO_RANK_H,E_OREB_PCT_RANK_H,E_DREB_PCT_RANK_H,E_REB_PCT_RANK_H,E_TM_TOV_PCT_RANK_H
226.5,0,234.01697200021204,0.183,3946.0,108.3,116.8,-8.5,104.9,19.5,0.2,0.725,0.456,0.133,1.0,29.0,29.0,29.0,23.0,25.0,28.0,27.0,9.0,29.0,30.0,30.0,16.0,0.476,3996.0,112.4,113.2,-0.8,98.6,18.2,0.251,0.764,0.502,0.123,1.0,20.0,20.0,20.0,1.0,18.0,21.0,20.0,24.0,9.0,10.0,14.0,4.0
224.5,0,220.7643431087091,0.256,3976.0,105.0,114.5,-9.5,100.0,16.7,0.275,0.74,0.494,0.15,1.0,27.0,27.0,27.0,2.0,29.0,23.0,29.0,30.0,3.0,27.0,22.0,29.0,0.5,3971.0,111.5,110.7,0.9,101.5,17.7,0.251,0.76,0.503,0.124,1.0,19.0,19.0,19.0,3.0,21.0,9.0,17.0,29.0,10.0,15.0,13.0,7.0
234.5,0,232.25847902344708,0.598,3956.0,114.9,111.5,3.4,100.8,19.4,0.25,0.756,0.516,0.147,1.0,8.0,8.0,8.0,17.0,9.0,12.0,7.0,11.0,11.0,17.0,5.0,25.0,0.268,3966.0,107.5,113.8,-6.3,103.5,20.5,0.229,0.764,0.494,0.145,1.0,26.0,26.0,26.0,7.0,26.0,22.0,25.0,3.0,23.0,9.0,21.0,24.0
214.5,1,215.8662129126343,0.329,3956.0,104.2,111.7,-7.5,100.7,17.9,0.238,0.748,0.483,0.148,1.0,24.0,24.0,24.0,17.0,30.0,13.0,26.0,27.0,19.0,22.0,28.0,27.0,0.695,3941.0,115.6,110.5,5.0,99.1,20.9,0.255,0.755,0.512,0.127,1.0,2.0,2.0,2.0,26.0,6.0,8.0,4.0,2.0,6.0,18.0,8.0,9.0
238.5,0,238.4043010381638,0.61,3941.0,115.2,112.6,2.6,102.4,18.5,0.222,0.752,0.488,0.122,1.0,6.0,6.0,6.0,26.0,7.0,16.0,12.0,20.0,24.0,19.0,25.0,3.0,0.378,3961.0,112.0,117.7,-5.8,102.2,18.9,0.281,0.752,0.518,0.152,1.0,23.0,23.0,23.0,10.0,19.0,30.0,23.0,17.0,2.0,21.0,3.0,30.0
220.0,0,228.89869897988217,0.573,3956.0,113.8,111.0,2.8,100.1,18.0,0.248,0.743,0.491,0.119,1.0,12.0,12.0,12.0,17.0,14.0,10.0,11.0,26.0,13.0,25.0,23.0,2.0,0.561,3971.0,113.8,112.9,0.9,101.1,19.9,0.245,0.784,0.508,0.128,1.0,16.0,16.0,16.0,3.0,13.0,19.0,17.0,8.0,14.0,1.0,10.0,11.0
235.0,1,242.39448957963918,0.573,3941.0,117.9,115.5,2.5,104.2,21.0,0.238,0.741,0.489,0.124,1.0,12.0,12.0,12.0,26.0,2.0,24.0,13.0,1.0,20.0,26.0,24.0,6.0,0.622,3941.0,116.1,112.3,3.9,99.7,18.7,0.244,0.748,0.505,0.132,1.0,5.0,5.0,5.0,26.0,4.0,14.0,6.0,18.0,16.0,23.0,11.0,15.0
217.0,0,223.7668093758798,0.561,3966.0,114.7,112.4,2.3,101.8,20.1,0.275,0.761,0.521,0.139,1.0,16.0,16.0,16.0,7.0,10.0,15.0,14.0,5.0,4.0,13.0,2.0,22.0,0.561,3951.0,111.7,109.5,2.2,98.5,19.1,0.218,0.781,0.497,0.128,1.0,16.0,16.0,16.0,21.0,20.0,5.0,15.0,15.0,26.0,2.0,19.0,10.0
234.5,1,240.182986874648,0.573,3971.0,113.6,112.7,0.9,103.1,20.1,0.199,0.762,0.495,0.135,1.0,12.0,12.0,12.0,3.0,15.0,17.0,17.0,6.0,30.0,12.0,20.0,18.0,0.598,3961.0,116.0,112.8,3.2,102.2,19.0,0.218,0.772,0.501,0.126,1.0,8.0,8.0,8.0,10.0,5.0,18.0,8.0,16.0,25.0,5.0,17.0,8.0
223.0,1,229.50801396882514,0.695,3961.0,117.0,109.1,7.9,102.3,19.4,0.211,0.738,0.485,0.123,1.0,2.0,2.0,2.0,10.0,3.0,4.0,2.0,12.0,28.0,29.0,27.0,5.0,0.598,3941.0,115.0,110.1,5.0,100.2,19.4,0.244,0.769,0.51,0.13,1.0,8.0,8.0,8.0,26.0,8.0,7.0,4.0,10.0,15.0,6.0,9.0,12.0
