NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Precious Achiuwa,Tor,F,22.56,73,23.6,49.2,18.5,11.3,131,0.595,447,0.468,156,0.359,0.486,0.503,9.1,6.5,14.9,1.1,6.9,0.51,0.56,1.15,6.8,105.4,104
Steven Adams,Mem,C,28.73,76,26.3,54.8,12,19.6,199,0.543,383,0.548,1,0,0.547,0.56,6.9,10,19.9,3.4,16.1,0.87,0.79,1.51,9.4,124.7,103.9
Bam Adebayo,Mia,C-F,24.73,56,32.6,67.9,25,14.4,340,0.753,723,0.562,6,0,0.557,0.608,19.1,10.1,17.5,3.4,17.5,1.43,0.79,2.64,10.7,117.2,98.2
Santi Aldama,Mem,F-C,21.25,32,11.2,23.4,18.5,9.9,32,0.625,84,0.56,48,0.125,0.424,0.452,4.1,2.7,12.6,0.7,7.7,0.19,0.31,0.5,7.1,101.1,103.9
LaMarcus Aldridge,Bro,C-F,36.73,47,22.3,46.5,22.4,8,102,0.873,412,0.578,46,0.304,0.566,0.604,12.9,5.5,13.4,0.9,6.3,0.3,1,0.94,7.2,119.6,108.8
Nickeil Alexander-Walker,Nor,G,23.61,50,26.3,54.9,24.8,11.2,97,0.722,327,0.434,305,0.311,0.45,0.474,12.8,3.3,6.9,2.8,16.1,0.82,0.38,1.7,7.5,97.1,110.2
Nickeil Alexander-Walker,Uta,G,23.61,15,9.9,20.7,17.9,13.1,12,0.917,15,0.4,33,0.303,0.438,0.497,3.5,1.5,8.4,1.1,15.5,0.33,0.27,0.53,7.2,104.5,102.3
Grayson Allen,Mil,G,26.51,66,27.3,57,15.2,6.7,74,0.865,180,0.533,389,0.409,0.588,0.609,11.1,3.4,6.5,1.5,7.6,0.7,0.27,0.65,5.6,121.7,110.7
Jarrett Allen,Cle,C,23.97,56,32.3,67.3,18.1,12.7,233,0.708,535,0.688,10,0.1,0.678,0.698,16.1,10.7,18.4,1.6,8.2,0.77,1.34,1.68,8.1,132.8,104.7
Jose Alvarado,Nor,G,24,54,15.4,32.2,18.4,11.2,53,0.679,184,0.538,110,0.291,0.5,0.52,6.1,1.9,6.6,2.8,26.9,1.31,0.13,0.74,8.3,113.5,104.5
