"NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"Joel Embiid","Phi","C","30.1","39","33.6","39.6","15","452","0.883","712","0.556","139","0.388","0.561","0.644","34.7","11","5.6","1.2","1.7","3.8","45.7","40.3","51.3","15.3","124","104.8"
"Luka Doncic","Dal","G","25.1","70","37.5","36","14.6","608","0.786","908","0.573","744","0.382","0.573","0.617","33.9","9.2","9.8","1.4","0.5","4","43.1","43.7","52.9","15.5","121.9","109.9"
"Giannis Antetokounmpo","Mil","F","29.4","73","35.2","33","15.4","782","0.657","1246","0.644","124","0.274","0.623","0.648","30.4","11.5","6.5","1.2","1.1","3.4","42","37","48.5","14.9","125.6","106.9"
"Shai Gilgeous-Alexander","Okc","G","25.8","75","34","32.9","9.8","649","0.874","1218","0.576","269","0.353","0.567","0.636","30.1","5.5","6.2","2","0.9","2.2","35.6","36.3","41.8","11.9","128.6","107.7"
"Jalen Brunson","Nyk","G","27.6","77","35.4","32.5","10.1","497","0.847","1122","0.516","526","0.401","0.543","0.592","28.7","3.6","6.7","0.9","0.2","2.4","32.3","35.5","39.1","10","124.2","112.6"
"Kevin Durant","Pho","F","35.5","75","37.2","29","14.5","423","0.856","1029","0.567","407","0.413","0.581","0.626","27.1","6.6","5","0.9","1.2","3.3","33.7","32.1","38.7","10.4","117.8","112.8"
"Devin Booker","Pho","G","27.5","68","36","29.8","12","457","0.886","887","0.552","418","0.364","0.55","0.611","27.1","4.5","6.9","0.9","0.4","2.6","31.6","34","38.5","10.5","123.9","110.6"
"Jayson Tatum","Bos","F","26.1","74","35.7","30.2","11.6","497","0.833","817","0.542","609","0.376","0.552","0.604","26.9","8.1","4.9","1","0.6","2.5","35","31.8","39.9","11.5","120.6","107.6"
"De'Aaron Fox","Sac","G","26.3","74","35.9","31","11.1","423","0.738","969","0.522","580","0.369","0.534","0.567","26.6","4.6","5.6","2","0.4","2.6","31.2","32.2","36.8","9.8","113.5","110.3"
"Donovan Mitchell","Cle","G","27.6","55","35.3","31.3","12.4","317","0.868","595","0.539","494","0.368","0.545","0.595","26.6","5.1","6.1","1.8","0.5","2.8","31.7","32.7","37.7","10.6","116.9","109.1"
"Stephen Curry","Gol","G","36.1","74","32.7","31.3","12.7","324","0.923","569","0.515","876","0.408","0.573","0.616","26.4","4.5","5.1","0.7","0.4","2.8","30.9","31.6","36","10.4","118.9","114.9"
"Nikola Jokic","Den","C","29.2","79","34.6","29.3","14.4","438","0.817","1180","0.626","231","0.359","0.612","0.65","26.4","12.4","9","1.4","0.9","3","38.8","35.4","47.7","16.6","130.7","104.8"
"Anthony Edwards","Min","G","22.7","79","35.1","32.3","13.4","506","0.836","1026","0.515","532","0.357","0.522","0.575","25.9","5.4","5.1","1.3","0.5","3.1","31.4","31.1","36.5","10.2","112.1","107.3"
"Tyrese Maxey","Phi","G","23.4","70","37.5","28","7.6","378","0.868","850","0.501","569","0.373","0.524","0.573","25.9","3.7","6.2","1","0.5","1.7","29.6","32.1","35.8","9","120.9","113.9"
"LeBron James","Lal","F","39.3","71","35.3","29.1","16.1","404","0.75","906","0.592","363","0.41","0.599","0.63","25.7","7.3","8.3","1.3","0.5","3.4","33","34","41.3","13.1","119.7","113.4"
"Trae Young","Atl","G","25.6","54","36","30.5","18.9","407","0.855","539","0.479","469","0.373","0.516","0.585","25.7","2.8","10.8","1.3","0.2","4.4","28.5","36.5","39.3","10.2","117.4","118.3"
"Kyrie Irving","Dal","G","32.1","58","35","28.1","8.6","210","0.905","710","0.548","421","0.411","0.573","0.608","25.6","5","5.2","1.3","0.5","1.8","30.6","30.8","35.8","10","122","113.1"
"Ja Morant","Mem","G","24.7","9","35.3","30.4","13.7","64","0.813","119","0.555","51","0.275","0.512","0.57","25.1","5.6","8.1","0.8","0.6","3","30.7","33.2","38.8","11.8","116.1","112.9"
"Anthony Davis","Lal","C","31.1","76","35.5","26.7","11","516","0.816","1176","0.582","107","0.271","0.567","0.621","24.7","12.6","3.5","1.2","2.3","2.1","37.3","28.2","40.8","11.6","124","107.6"
"Damian Lillard","Mil","G","33.8","73","35.3","28.4","13.1","514","0.92","655","0.49","622","0.354","0.51","0.59","24.3","4.4","7","1","0.2","2.6","28.7","31.3","35.7","10.3","120","114.3"
"DeMar DeRozan","Chi","F","34.7","79","37.8","25.8","9.1","612","0.853","1130","0.509","225","0.333","0.507","0.584","24","4.3","5.3","1.1","0.6","1.7","28.3","29.3","33.6","8.7","122.6","115.5"
"Julius Randle","Nyk","F","29.4","46","35.4","29.9","16","302","0.781","592","0.539","244","0.311","0.518","0.569","24","9.2","5","0.5","0.3","3.5","33.2","28.9","38.1","11.7","112.8","107.2"
"LaMelo Ball","Cha","G","22.6","22","32.3","34.3","16.4","104","0.865","226","0.5","197","0.355","0.515","0.561","23.9","5.1","8","1.8","0.2","3.8","29","31.9","37","12.3","110.4","110"
"Kawhi Leonard","Lac","F","32.8","68","34.3","26.5","9.3","286","0.885","826","0.569","336","0.417","0.585","0.626","23.7","6.1","3.6","1.6","0.9","1.8","29.8","27.3","33.4","9.4","124.4","113.5"
"Desmond Bane","Mem","G","25.8","42","34.4","28.5","12.6","161","0.87","416","0.536","360","0.381","0.552","0.589","23.7","4.4","5.5","1","0.5","2.7","28.1","29.2","33.6","9.7","114.3","110.8"
"Terry Rozier","Cha","G","30.1","30","35.5","27.8","10.6","129","0.845","317","0.533","232","0.358","0.535","0.574","23.2","3.9","6.6","1.1","0.4","2.2","27.1","29.8","33.7","9.5","116.2","119.5"
"Lauri Markkanen","Uta","F","26.9","55","33.1","25","8","277","0.899","451","0.559","439","0.399","0.578","0.631","23.2","8.2","2","0.9","0.5","1.4","31.4","25.2","33.4","8.8","127.5","116.9"
"Jaylen Brown","Bos","F","27.5","70","33.5","28.9","11.7","300","0.703","846","0.57","410","0.354","0.557","0.58","23","5.5","3.6","1.2","0.5","2.4","28.5","26.6","32.1","9.2","113.4","106.7"
"Zion Williamson","Nor","F","23.8","70","31.5","29.7","15","494","0.702","1076","0.574","18","0.333","0.573","0.61","22.9","5.8","5","1.1","0.7","2.8","28.7","27.9","33.7","11.1","118.8","108.8"
"Cade Cunningham","Det","G","22.6","62","33.5","30.8","15.4","274","0.869","832","0.487","335","0.355","0.5","0.546","22.7","4.3","7.5","0.9","0.4","3.4","27","30.1","34.5","10.8","108.3","115.2"
"Paul George","Lac","G","34","74","33.8","26.6","11","291","0.907","648","0.523","588","0.413","0.569","0.613","22.6","5.2","3.5","1.5","0.5","2.1","27.8","26.1","31.4","8.8","118.7","109.4"
"Anfernee Simons","Por","G","24.9","46","34.4","28","13.1","178","0.916","432","0.472","405","0.385","0.523","0.568","22.6","3.6","5.5","0.5","0.1","2.7","26.2","28.1","31.8","8.9","113.4","117.3"
"Paolo Banchero","Orl","F","21.4","80","35","29.7","14.9","559","0.725","1056","0.493","351","0.339","0.497","0.546","22.6","6.9","5.4","0.9","0.6","3.1","29.5","27.9","34.9","10.8","108.9","108.6"
"Dejounte Murray","Atl","G","27.6","78","35.7","26.6","12.1","262","0.794","909","0.518","554","0.363","0.528","0.555","22.5","5.3","6.4","1.4","0.3","2.6","27.8","28.9","34.2","10.2","113.8","117.2"
"Jaren Jackson Jr.","Mem","F","24.6","66","32.2","30.4","12.1","417","0.808","795","0.502","366","0.32","0.495","0.553","22.5","5.5","2.3","1.2","1.6","2.4","28","24.8","30.4","8.2","106.8","106.3"
"Cam Thomas","Bro","G","22.5","66","31.4","30.5","9.4","334","0.856","794","0.481","396","0.364","0.503","0.554","22.5","3.2","2.9","0.7","0.2","1.9","25.7","25.4","28.6","7.6","110.3","114.5"
"Pascal Siakam","Tor","F","30","39","34.7","25.3","11.8","223","0.758","478","0.584","145","0.317","0.559","0.6","22.2","6.3","4.8","0.8","0.3","2.1","28.5","27","33.3","10.1","118.5","115.6"
"Kyle Kuzma","Was","F","28.7","70","32.6","29.7","12.8","240","0.775","863","0.53","450","0.336","0.521","0.547","22.2","6.6","4.2","0.5","0.7","2.7","28.8","26.4","33.1","10.4","103.6","116.4"
"Karl-Anthony Towns","Min","F","28.4","62","32.7","27.4","15.7","292","0.873","623","0.551","327","0.416","0.576","0.625","21.8","8.3","3","0.7","0.7","2.9","30.1","24.8","33.1","10","115","100.6"
"RJ Barrett","Tor","F","23.8","32","33.5","25.7","13.8","167","0.629","373","0.603","120","0.392","0.599","0.614","21.8","6.4","4.1","0.6","0.4","2.5","28.1","25.8","32.2","9.9","114.2","113.9"
"Victor Wembanyama","San","F","20.3","71","29.7","32.2","18","367","0.796","792","0.534","394","0.325","0.519","0.565","21.4","10.6","3.9","1.2","3.6","3.7","32.1","25.3","35.9","12.9","104.1","107.9"
"Pascal Siakam","Ind","F","30","41","31.8","25.1","8.2","173","0.699","547","0.58","101","0.386","0.579","0.602","21.3","7.8","3.7","0.8","0.4","1.4","29","25","32.8","10.7","122.5","113.5"
"Jamal Murray","Den","G","27.1","59","31.5","27.9","11.2","184","0.853","645","0.51","341","0.425","0.554","0.586","21.2","4.1","6.5","1","0.7","2.1","25.3","27.7","31.8","10.5","119.1","112.3"
"Alperen Sengun","Hou","C","21.7","63","32.5","27","14.2","352","0.693","871","0.567","111","0.297","0.553","0.585","21.1","9.4","5","1.2","0.7","2.6","30.5","26.1","35.4","12.3","117.7","104"
"Jerami Grant","Por","F","30.1","54","33.9","25.7","12","312","0.817","574","0.474","276","0.402","0.516","0.573","21","3.5","2.8","0.8","0.6","2.1","24.5","23.8","27.3","7","113.1","116.6"
"Miles Bridges","Cha","F","26.1","69","37.4","24.7","10.2","211","0.825","760","0.529","450","0.349","0.527","0.556","21","7.3","3.3","0.9","0.5","2","28.3","24.3","31.7","8.5","108.5","117.9"
"Jimmy Butler","Mia","F","34.6","60","34","24","11.4","459","0.858","648","0.519","145","0.414","0.537","0.626","20.8","5.3","5","1.3","0.3","1.7","26.1","25.7","31.1","9.6","129.2","111.9"
"Brandon Ingram","Nor","F","26.6","64","32.9","27.2","13.8","307","0.801","775","0.534","242","0.355","0.534","0.578","20.8","5.1","5.7","0.8","0.6","2.5","25.9","26.5","31.5","10.3","114.7","109.7"
"Tyler Herro","Mia","G","24.2","42","33.5","27.8","11.2","111","0.856","402","0.478","333","0.396","0.531","0.558","20.8","5.3","4.5","0.7","0.1","2.2","26.1","25.3","30.6","9.5","108.2","110.7"
"Bojan Bogdanovic","Det","F","35","28","32.9","24.7","12.9","104","0.779","218","0.518","207","0.415","0.569","0.6","20.2","3.4","2.5","0.8","0.1","2.3","23.5","22.7","26.1","6.8","110.4","117.3"
"Kristaps Porzingis","Bos","C","28.7","57","29.6","25.1","10.6","302","0.858","459","0.606","293","0.375","0.589","0.647","20.1","7.2","2","0.7","1.9","1.6","27.3","22.1","29.3","8.9","127.5","104"
"Tyrese Haliburton","Ind","G","24.1","69","32.2","24.6","13.2","227","0.855","513","0.595","535","0.364","0.57","0.605","20.1","3.9","10.9","1.2","0.7","2.3","24.1","31","35","11.8","128.2","120"
"CJ McCollum","Nor","G","32.6","66","32.7","24.7","9.4","139","0.827","498","0.492","557","0.429","0.572","0.592","20","4.3","4.6","0.9","0.6","1.7","24.4","24.7","29","9","118.3","111.2"
"Scottie Barnes","Tor","F-G","22.7","60","34.9","24.8","14.9","251","0.781","646","0.536","296","0.341","0.528","0.566","19.9","8.2","6.1","1.3","1.5","2.8","28.1","25.9","34.2","11.4","113.6","114.9"
"Franz Wagner","Orl","F","22.6","72","32.5","25.7","11.1","319","0.85","763","0.569","333","0.282","0.525","0.575","19.7","5.3","3.7","1.1","0.4","1.9","25","23.5","28.8","9","115.7","107.2"
"Mikal Bridges","Bro","F","27.6","82","34.8","24.2","11.2","317","0.814","702","0.49","592","0.372","0.521","0.56","19.6","4.5","3.6","1","0.4","2","24.1","23.2","27.8","7.8","111.8","116.5"
"Jalen Green","Hou","G","22.2","82","31.7","27.5","12.6","352","0.804","727","0.498","605","0.332","0.498","0.541","19.6","5.2","3.5","0.8","0.3","2.3","24.8","23.2","28.3","8.9","106.6","112.9"
"Zach LaVine","Chi","G","29.1","25","34.9","23.8","12.1","103","0.854","207","0.536","169","0.349","0.531","0.578","19.5","5.1","3.9","0.8","0.3","2.1","24.6","23.4","28.5","8.4","113.3","113.4"
"Devin Vassell","San","G","23.6","68","33.1","23.5","9.3","201","0.801","609","0.545","447","0.371","0.55","0.578","19.5","3.8","4.1","1.1","0.3","1.6","23.3","23.5","27.4","8.1","113.4","117.7"
"Domantas Sabonis","Sac","C","27.9","82","35.7","22.2","20.4","415","0.704","981","0.613","87","0.379","0.609","0.637","19.4","13.7","8.2","0.9","0.6","3.3","33.1","27.6","41.3","14.5","126.3","106.4"
"Bam Adebayo","Mia","C","26.7","71","34","24.9","13.7","387","0.755","975","0.528","42","0.357","0.529","0.576","19.3","10.4","3.9","1.1","0.9","2.3","29.7","23.2","33.6","10.8","114.7","104.9"
"Coby White","Chi","G","24.2","79","36.5","22.7","12.1","260","0.838","653","0.508","556","0.376","0.534","0.57","19.1","4.5","5.1","0.7","0.2","2.1","23.6","24.2","28.8","8.3","114.7","114.7"
"Jalen Williams","Okc","F","23","71","31.3","23.7","11","221","0.814","752","0.576","241","0.427","0.592","0.621","19.1","4","4.5","1.1","0.6","1.7","23.1","23.6","27.6","9","121.7","109.1"
"Collin Sexton","Uta","G","25.3","78","26.6","27.5","13.7","370","0.859","713","0.53","325","0.394","0.549","0.607","18.7","2.6","4.9","0.8","0.2","2.1","21.3","23.6","26.2","9.3","122.1","117.9"
"Immanuel Quickley","Tor","G","24.8","38","33.3","23.4","11.1","151","0.841","288","0.448","271","0.395","0.518","0.564","18.6","4.8","6.8","0.9","0.2","1.8","23.4","25.3","30.1","10.2","117.6","116.2"
"Bradley Beal","Pho","G","30.8","53","33.3","22.7","15.1","134","0.813","500","0.552","235","0.43","0.582","0.607","18.2","4.4","5","1","0.5","2.5","22.6","23.2","27.6","8.9","116.6","111.7"
"RJ Barrett","Nyk","F","23.8","26","29.5","27.6","10.8","124","0.831","258","0.469","130","0.331","0.478","0.536","18.2","4.3","2.4","0.5","0.3","1.8","22.5","20.7","24.9","7.8","109.7","111.5"
"Nikola Vucevic","Chi","C","33.5","76","34.3","23.3","9.1","129","0.822","897","0.551","313","0.294","0.522","0.541","18","10.5","3.3","0.7","0.8","1.6","28.6","21.4","31.9","10","113.5","110.2"
"D'Angelo Russell","Lal","G","28.1","76","32.7","22.9","12.6","192","0.828","535","0.497","545","0.415","0.56","0.588","18","3.1","6.3","0.9","0.5","2.1","21.1","24.3","27.4","8.6","116.2","113.2"
"Darius Garland","Cle","G","24.2","57","33.3","25.4","17.3","175","0.834","485","0.501","356","0.371","0.524","0.56","18","2.7","6.5","1.3","0.1","3.1","20.7","24.6","27.2","8.2","108.7","112.8"
